train_loss,val_loss,val_acc
0.663492148121198,0.5822583138942719,0.7189189189189189
0.5441005229949951,0.47840912143389386,0.7945945945945946
0.48622417263686657,0.39692117770512897,0.8648648648648649
0.42022803239524364,0.32606496413548786,0.9135135135135135
0.3734780332694451,0.26116206496953964,0.9513513513513514
0.32503300222257775,0.22048699110746384,0.9351351351351351
0.2707617140840739,0.1769535926481088,0.9513513513513514
0.23411315912380815,0.1353361209233602,0.9675675675675676
0.20921843498945236,0.10755648215611775,0.972972972972973
0.23242770042270422,0.08451149488488834,0.9837837837837838
0.1938668064152201,0.0828594472259283,0.9837837837837838
0.12944936313821623,0.07137915678322315,0.9783783783783784
0.1407812152368327,0.04145228583365679,0.9945945945945946
0.15785719795773426,0.049881823981801666,0.9837837837837838
0.121583535335958,0.04003887933989366,0.9891891891891892
0.09617248041710506,0.03830563245962063,0.9837837837837838
0.07638759266895552,0.03459228264788786,0.9945945945945946
0.0808573376853019,0.022937084858616192,0.9945945945945946
0.09198761587807287,0.016636156011372805,1.0
0.07811409087541203,0.020655086264014244,1.0
